lon,lat,alt
-122.330683,37.925928,10
-122.329343,37.927000,110
-122.328570,37.928043,210
-122.328983,37.928693,310
-122.328668,37.928807,410
-122.328290,37.927790,511
-122.330542,37.925303,611
-122.335428,37.923290,713
-122.341193,37.921082,815
-122.347507,37.919223,916
-122.358010,37.916010,1016
-122.365152,37.910918,1116
-122.368033,37.906937,1217
-122.371735,37.901833,1318
-122.376840,37.896175,1421
-122.381283,37.892215,1521
-122.384572,37.887317,1622
-122.386378,37.882237,1724
-122.386842,37.870263,1825
-122.386078,37.866658,1925
-122.385652,37.863170,2026
-122.386363,37.856955,2126
-122.386917,37.850368,2226
-122.386200,37.844247,2328
-122.385690,37.835280,2429
-122.385615,37.825950,2531
-122.383330,37.800020,2632
-122.381982,37.786262,2733
-122.380437,37.768605,2833
-122.374452,37.745653,2934
-122.368815,37.728232,3034
-122.363443,37.710607,3134
-122.357152,37.691013,3235
-122.350905,37.665548,3350
-122.345235,37.648278,3450
-122.337732,37.611095,3550
-122.332935,37.589797,3656
