lon,lat,alt
-121.964008,37.544508,8
-121.965363,37.544328,109
-121.967923,37.543647,215
-121.968847,37.543103,316
-121.969850,37.542845,418
-121.971433,37.541517,522
-121.972080,37.541215,624
-121.971765,37.542085,726
-121.975265,37.545212,826
-121.978568,37.549820,926
-121.981422,37.553705,1027
-121.986878,37.562652,1129
-121.991018,37.570990,1232
-121.992672,37.579662,1333
-121.995350,37.588472,1433
-121.998647,37.593640,1537
-121.997222,37.596627,1638
-121.997163,37.602872,1741
-121.999207,37.608178,1844
-122.001260,37.612463,1946
-122.002648,37.616480,2046
-122.001922,37.621600,2146
-121.997718,37.623088,2246
-121.993768,37.624218,2347
-121.990740,37.626155,2447
-121.988367,37.628630,2548
-121.988112,37.630972,2648
-121.991038,37.633318,2749
-121.992660,37.635188,2849
-121.993732,37.637087,2949
-121.996163,37.639683,3049
-121.999640,37.642662,3149
-122.003772,37.647275,3250
-122.005820,37.650228,3353
-122.007982,37.653983,3453
-122.009688,37.662208,3553
-122.010130,37.668393,3655
-122.009398,37.678213,3756
-122.009767,37.685565,3856
-122.010292,37.692475,3956
-122.011838,37.701610,4056
