lon,lat,alt
-122.302987,37.791920,1
-122.302305,37.790357,102
-122.302187,37.791082,202
-122.301997,37.791998,304
-122.301417,37.793480,406
-122.301188,37.795572,511
-122.301723,37.798573,616
-122.302252,37.801747,716
-122.303017,37.805640,818
-122.304487,37.809843,918
-122.307118,37.815560,1019
-122.310183,37.820888,1121
-122.313060,37.825980,1221
-122.315832,37.831612,1326
-122.317558,37.836762,1432
-122.317812,37.843408,1533
-122.316732,37.851722,1637
-122.315447,37.860742,1739
-122.313398,37.869630,1841
-122.311480,37.877172,1943
-122.310150,37.883547,2045
-122.308138,37.890105,2147
-122.305697,37.896925,2250
-122.303352,37.903817,2351
-122.300297,37.911963,2453
-122.297505,37.921667,2553
-122.295402,37.931797,2655
-122.293672,37.941038,2755
-122.292767,37.950418,2860
-122.292175,37.958472,2961
-122.291570,37.966213,3062
-122.290807,37.974005,3162
-122.289258,37.985027,3265
-122.285703,37.999105,3368
-122.281423,38.011170,3470
-122.277653,38.020333,3577
-122.274122,38.028530,3679
