lon,lat,alt
-121.919303,38.025135,8
-121.921987,38.023547,109
-121.923980,38.023647,210
-121.941012,38.025840,310
-121.944745,38.026272,413
-121.949823,38.026083,516
-121.954412,38.026062,617
-121.964633,38.028165,717
-121.972562,38.031372,820
-121.978393,38.034282,924
-121.981513,38.036837,1026
-121.984288,38.039550,1128
-121.987358,38.042385,1228
-121.990920,38.044760,1332
-121.993863,38.047455,1436
-121.997112,38.050405,1537
-121.999335,38.051810,1640
-121.999423,38.052530,1740
-121.998102,38.052257,1841
-121.994967,38.051833,1942
-121.991337,38.052260,2042
-121.988118,38.053718,2146
-121.985203,38.056327,2246
-121.981155,38.059975,2351
-121.977928,38.063625,2453
-121.977308,38.066820,2555
-121.976760,38.069872,2657
-121.975833,38.072375,2758
-121.974747,38.074343,2862
-121.973025,38.075647,2964
-121.971147,38.076555,3065
-121.969620,38.078132,3165
-121.968340,38.080610,3266
-121.967455,38.083557,3368
-121.966675,38.086317,3468
-121.966695,38.088207,3569
-121.967285,38.090315,3673
-121.967020,38.092567,3773
-121.965450,38.093767,3880
-121.962855,38.094768,3980
-121.960572,38.097363,4080
-121.958813,38.102182,4182
-121.957837,38.108647,4284
-121.957412,38.113655,4386
-121.956927,38.117570,4488
-121.955360,38.120332,4589
-121.951560,38.122802,4693
-121.946165,38.126852,4793
-121.940985,38.131883,4896
-121.935920,38.137747,4999
-121.930967,38.143077,5103
-121.925813,38.147725,5203
-121.919573,38.153103,5308
-121.912262,38.158783,5416
-121.903120,38.163668,5519
-121.893107,38.167905,5632
-121.881908,38.171957,5742
-121.871052,38.176392,5849
-121.859553,38.180873,5953
