lon,lat,alt
-121.640707,38.005480,2
-121.641863,38.005607,105
-121.642498,38.004737,205
-121.643097,38.004030,309
-121.643320,38.003580,409
-121.644123,38.003360,509
-121.645458,38.002868,610
-121.647145,38.003500,711
-121.652517,38.008365,811
-121.658190,38.015137,915
-121.660817,38.019355,1015
-121.663462,38.024302,1116
-121.663650,38.028763,1218
-121.665155,38.032222,1321
-121.664375,38.034275,1427
-121.662178,38.036738,1533
-121.661335,38.038712,1633
-121.660365,38.039407,1737
-121.658553,38.039448,1838
-121.657273,38.038830,1938
-121.656483,38.038147,2039
-121.655508,38.037783,2140
-121.652708,38.037227,2241
-121.648708,38.037133,2344
-121.643325,38.037433,2446
-121.640003,38.039508,2546
-121.638117,38.041842,2647
-121.636040,38.043812,2753
-121.633838,38.045593,2856
-121.632030,38.047430,2961
-121.631072,38.048677,3063
-121.629792,38.049740,3168
-121.627453,38.051008,3268
-121.623840,38.053227,3369
-121.619423,38.055242,3473
-121.614712,38.059173,3573
-121.610300,38.065523,3679
-121.608275,38.069787,3781
-121.606188,38.073260,3881
-121.601487,38.077918,3984
-121.594305,38.085403,4084
-121.587585,38.094252,4190
-121.582737,38.104917,4297
-121.579605,38.113195,4402
-121.576277,38.120380,4507
